Product Name,Order Date,Demand,Moving_Average
Bag Boy Beverage Holder,01-04-2017,2,2.666666667
Bag Boy Beverage Holder,03-04-2017,6,3
Bag Boy Beverage Holder,04-04-2017,4,4
Bag Boy Beverage Holder,06-04-2017,2,4
Bag Boy Beverage Holder,09-04-2017,3,3
Bag Boy Beverage Holder,10-04-2017,5,3.333333333
Bag Boy Beverage Holder,12-04-2017,1,3
Bag Boy Beverage Holder,,2,2.666666667
Bag Boy Beverage Holder,,3,2
Bag Boy Beverage Holder,,5,3.333333333
Bag Boy Beverage Holder,,4,4
Bag Boy Beverage Holder,,7,5.333333333
Bag Boy Beverage Holder,,2,4.333333333
Bag Boy Beverage Holder,,5,4.666666667
Bag Boy Beverage Holder,,3,3.333333333
Bag Boy Beverage Holder,,5,4.333333333
Bag Boy Beverage Holder,,1,3
Bag Boy Beverage Holder,,1,2.333333333
Bag Boy Beverage Holder,,4,2
Bag Boy Beverage Holder,,4,3
Bag Boy Beverage Holder,,6,4.666666667
Bag Boy Beverage Holder,,3,4.333333333
Bag Boy Beverage Holder,,3,4
Bag Boy Beverage Holder,,3,3
Bag Boy Beverage Holder,,1,2.333333333
Bag Boy Beverage Holder,,4,2.666666667
Bag Boy Beverage Holder,,1,2
Bag Boy Beverage Holder,,4,3
Bag Boy Beverage Holder,,5,3.333333333
Bag Boy Beverage Holder,,4,4.333333333
Bag Boy Beverage Holder,,5,4.666666667
Bag Boy Beverage Holder,,4,4.333333333
Bag Boy Beverage Holder,,1,3.333333333
Bag Boy Beverage Holder,,5,3.333333333
Bag Boy Beverage Holder,,1,2.333333333
Bag Boy Beverage Holder,,2,2.666666667
Bag Boy Beverage Holder,,1,1.333333333
Bag Boy Beverage Holder,,2,1.666666667
Bag Boy Beverage Holder,,1,1.333333333
Bag Boy Beverage Holder,,10,4.333333333
Bag Boy Beverage Holder,,3,4.666666667
Bag Boy Beverage Holder,,3,5.333333333
Bag Boy Beverage Holder,,3,3
Bag Boy Beverage Holder,,9,5
Bag Boy Beverage Holder,,5,5.666666667
Bag Boy Beverage Holder,,1,5
Bag Boy Beverage Holder,,5,3.666666667
Bag Boy Beverage Holder,,1,2.333333333
Bag Boy Beverage Holder,,3,3
Bag Boy Beverage Holder,,4,2.666666667
Bag Boy Beverage Holder,,8,5
Bag Boy Beverage Holder,,2,4.666666667
Bag Boy Beverage Holder,,3,4.333333333
Bag Boy Beverage Holder,,3,2.666666667
Bag Boy Beverage Holder,,3,3
Bag Boy Beverage Holder,,1,2.333333333
Bag Boy Beverage Holder,,3,2.333333333
Bag Boy Beverage Holder,,5,3
Bag Boy Beverage Holder,,1,3
Bag Boy Beverage Holder,,2,2.666666667
Bag Boy Beverage Holder,,4,2.333333333
Bag Boy Beverage Holder,,2,2.666666667
Bag Boy Beverage Holder,,4,3.333333333
Bag Boy Beverage Holder,,3,3
Bag Boy Beverage Holder,,5,4
Bag Boy Beverage Holder,,2,3.333333333
Bag Boy Beverage Holder,,2,3
Bag Boy Beverage Holder,,10,4.666666667
Bag Boy Beverage Holder,,3,5
Bag Boy Beverage Holder,,4,5.666666667
Bag Boy Beverage Holder,,1,2.666666667
Bag Boy Beverage Holder,,5,3.333333333
Bag Boy Beverage Holder,,3,3
Bag Boy Beverage Holder,,1,3
Bag Boy Beverage Holder,,3,2.333333333
Bag Boy Beverage Holder,,2,2
Bag Boy Beverage Holder,,2,2.333333333
Bag Boy Beverage Holder,,1,1.666666667
Bag Boy Beverage Holder,,1,1.333333333
Bag Boy Beverage Holder,,2,1.333333333
Bag Boy Beverage Holder,,5,2.666666667
Bag Boy Beverage Holder,,2,3
Bag Boy Beverage Holder,,5,4
Bag Boy Beverage Holder,,3,3.333333333
Bag Boy Beverage Holder,,5,4.333333333
Bag Boy Beverage Holder,,4,4
Bag Boy Beverage Holder,,1,3.333333333
Bag Boy Beverage Holder,,4,3
Bag Boy Beverage Holder,,5,3.333333333
Bag Boy Beverage Holder,,2,3.666666667
Bag Boy Beverage Holder,,5,4
Bag Boy Beverage Holder,,1,2.666666667
Bag Boy Beverage Holder,,3,3
Bag Boy Beverage Holder,,3,2.333333333
Bag Boy Beverage Holder,,3,3
Bag Boy Beverage Holder,,2,2.666666667
Bag Boy Beverage Holder,,3,2.666666667
Bag Boy Beverage Holder,,5,3.333333333
Bag Boy Beverage Holder,,4,4
Bag Boy Beverage Holder,,5,4.666666667
Bag Boy Beverage Holder,,2,3.666666667
Bag Boy Beverage Holder,,5,4
Bag Boy Beverage Holder,,4,3.666666667
Bag Boy Beverage Holder,,5,4.666666667
Bag Boy Beverage Holder,,2,3.666666667
Bag Boy Beverage Holder,,2,3
Bag Boy Beverage Holder,,5,3
Bag Boy Beverage Holder,,3,3.333333333
Bag Boy Beverage Holder,,10,6
Bag Boy Beverage Holder,,1,4.666666667
Bag Boy Beverage Holder,,1,4
Bag Boy Beverage Holder,,1,1
Bag Boy Beverage Holder,,2,1.333333333
Bag Boy Beverage Holder,,2,1.666666667
Bag Boy Beverage Holder,,4,2.666666667
Bag Boy Beverage Holder,,3,3
Bag Boy Beverage Holder,,7,4.666666667
Bag Boy Beverage Holder,,2,4
Bag Boy Beverage Holder,,3,4
Bag Boy Beverage Holder,,2,2.333333333
Bag Boy Beverage Holder,,3,2.666666667
Bag Boy Beverage Holder,,2,2.333333333
Bag Boy Beverage Holder,,3,2.666666667
Bag Boy Beverage Holder,,4,3
Bag Boy Beverage Holder,,5,4
Bag Boy Beverage Holder,,3,4
Bag Boy Beverage Holder,,5,4.333333333
Bag Boy Beverage Holder,,8,5.333333333
Bag Boy Beverage Holder,,12,8.333333333
Bag Boy Beverage Holder,,2,7.333333333
Bag Boy Beverage Holder,,2,5.333333333
Bag Boy Beverage Holder,,4,2.666666667
Bag Boy Beverage Holder,,1,2.333333333
Bag Boy Beverage Holder,,1,2
Bag Boy Beverage Holder,,10,4
Bag Boy Beverage Holder,,2,4.333333333
Bag Boy Beverage Holder,,4,5.333333333
Bag Boy Beverage Holder,,4,3.333333333
Bag Boy M330 Push Cart,02-05-2017,3,
Bag Boy M330 Push Cart,05-05-2017,3,
Bag Boy M330 Push Cart,06-05-2017,3,3
Bag Boy M330 Push Cart,07-05-2017,5,3.666666667
Bag Boy M330 Push Cart,09-05-2017,6,4.666666667
Bag Boy M330 Push Cart,10-05-2017,4,5
Bag Boy M330 Push Cart,11-05-2017,1,3.666666667
Bag Boy M330 Push Cart,12-05-2017,5,3.333333333
Bag Boy M330 Push Cart,01-06-2017,1,2.333333333
Bag Boy M330 Push Cart,05-06-2017,2,2.666666667
Bag Boy M330 Push Cart,06-06-2017,6,3
Bag Boy M330 Push Cart,01-07-2017,4,4
Bag Boy M330 Push Cart,05-07-2017,1,3.666666667
Bag Boy M330 Push Cart,09-07-2017,3,2.666666667
Bag Boy M330 Push Cart,01-08-2017,5,3
Bag Boy M330 Push Cart,02-08-2017,1,3
Bag Boy M330 Push Cart,05-08-2017,8,4.666666667
Bag Boy M330 Push Cart,06-08-2017,1,3.333333333
Bag Boy M330 Push Cart,07-08-2017,5,4.666666667
Bag Boy M330 Push Cart,09-08-2017,4,3.333333333
Bag Boy M330 Push Cart,10-08-2017,5,4.666666667
Bag Boy M330 Push Cart,01-09-2017,3,4
Bag Boy M330 Push Cart,05-09-2017,5,4.333333333
Bag Boy M330 Push Cart,08-09-2017,5,4.333333333
Bag Boy M330 Push Cart,09-09-2017,6,5.333333333
Bag Boy M330 Push Cart,11-09-2017,5,5.333333333
Bag Boy M330 Push Cart,,4,5
Bag Boy M330 Push Cart,,5,4.666666667
Bag Boy M330 Push Cart,,2,3.666666667
Bag Boy M330 Push Cart,,1,2.666666667
Bag Boy M330 Push Cart,,6,3
Bag Boy M330 Push Cart,,5,4
Bag Boy M330 Push Cart,,5,5.333333333
Bag Boy M330 Push Cart,,4,4.666666667
Bag Boy M330 Push Cart,,3,4
Bag Boy M330 Push Cart,,5,4
Bag Boy M330 Push Cart,,3,3.666666667
Bag Boy M330 Push Cart,,6,4.666666667
Bag Boy M330 Push Cart,,3,4
Bag Boy M330 Push Cart,,1,3.333333333
Bag Boy M330 Push Cart,,5,3
Bag Boy M330 Push Cart,,1,2.333333333
Bag Boy M330 Push Cart,,8,4.666666667
Bag Boy M330 Push Cart,,4,4.333333333
Bag Boy M330 Push Cart,,4,5.333333333
Bag Boy M330 Push Cart,,3,3.666666667
Bag Boy M330 Push Cart,,4,3.666666667
Bag Boy M330 Push Cart,,3,3.333333333
Bag Boy M330 Push Cart,,5,4
Bag Boy M330 Push Cart,,3,3.666666667
Bag Boy M330 Push Cart,,1,3
Bag Boy M330 Push Cart,,2,2
Bag Boy M330 Push Cart,,4,2.333333333
Bag Boy M330 Push Cart,,2,2.666666667
Bag Boy M330 Push Cart,,3,3
Bag Boy M330 Push Cart,,3,2.666666667
Bowflex SelectTech 1090 Dumbbells,01-10-2017,3,
Bowflex SelectTech 1090 Dumbbells,,4,
Bowflex SelectTech 1090 Dumbbells,,3,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,02-01-2015,2,
Bridgestone e6 Straight Distance NFL Carolina,03-01-2015,7,
Bridgestone e6 Straight Distance NFL Carolina,04-01-2015,1,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,05-01-2015,4,4
Bridgestone e6 Straight Distance NFL Carolina,06-01-2015,1,2
Bridgestone e6 Straight Distance NFL Carolina,09-01-2015,2,2.333333333
Bridgestone e6 Straight Distance NFL Carolina,10-01-2015,6,3
Bridgestone e6 Straight Distance NFL Carolina,02-02-2015,4,4
Bridgestone e6 Straight Distance NFL Carolina,04-02-2015,3,4.333333333
Bridgestone e6 Straight Distance NFL Carolina,05-02-2015,1,2.666666667
Bridgestone e6 Straight Distance NFL Carolina,07-02-2015,2,2
Bridgestone e6 Straight Distance NFL Carolina,01-03-2015,5,2.666666667
Bridgestone e6 Straight Distance NFL Carolina,06-03-2015,2,3
Bridgestone e6 Straight Distance NFL Carolina,09-03-2015,2,3
Bridgestone e6 Straight Distance NFL Carolina,11-03-2015,1,1.666666667
Bridgestone e6 Straight Distance NFL Carolina,12-03-2015,1,1.333333333
Bridgestone e6 Straight Distance NFL Carolina,01-04-2015,6,2.666666667
Bridgestone e6 Straight Distance NFL Carolina,06-04-2015,5,4
Bridgestone e6 Straight Distance NFL Carolina,09-04-2015,1,4
Bridgestone e6 Straight Distance NFL Carolina,12-04-2015,4,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,01-05-2015,5,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,03-05-2015,4,4.333333333
Bridgestone e6 Straight Distance NFL Carolina,01-06-2015,8,5.666666667
Bridgestone e6 Straight Distance NFL Carolina,03-06-2015,3,5
Bridgestone e6 Straight Distance NFL Carolina,10-06-2015,1,4
Bridgestone e6 Straight Distance NFL Carolina,11-06-2015,3,2.333333333
Bridgestone e6 Straight Distance NFL Carolina,01-07-2015,5,3
Bridgestone e6 Straight Distance NFL Carolina,03-07-2015,3,3.666666667
Bridgestone e6 Straight Distance NFL Carolina,07-07-2015,5,4.333333333
Bridgestone e6 Straight Distance NFL Carolina,09-07-2015,5,4.333333333
Bridgestone e6 Straight Distance NFL Carolina,12-07-2015,2,4
Bridgestone e6 Straight Distance NFL Carolina,01-08-2015,3,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,02-08-2015,5,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,09-08-2015,2,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,10-08-2015,1,2.666666667
Bridgestone e6 Straight Distance NFL Carolina,11-08-2015,4,2.333333333
Bridgestone e6 Straight Distance NFL Carolina,04-09-2015,5,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,05-09-2015,5,4.666666667
Bridgestone e6 Straight Distance NFL Carolina,09-09-2015,3,4.333333333
Bridgestone e6 Straight Distance NFL Carolina,03-10-2015,1,3
Bridgestone e6 Straight Distance NFL Carolina,05-10-2015,4,2.666666667
Bridgestone e6 Straight Distance NFL Carolina,08-10-2015,4,3
Bridgestone e6 Straight Distance NFL Carolina,06-11-2015,1,3
Bridgestone e6 Straight Distance NFL Carolina,10-11-2015,3,2.666666667
Bridgestone e6 Straight Distance NFL Carolina,12-11-2015,2,2
Bridgestone e6 Straight Distance NFL Carolina,01-12-2015,5,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,03-12-2015,3,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,05-12-2015,3,3.666666667
Bridgestone e6 Straight Distance NFL Carolina,11-12-2015,2,2.666666667
Bridgestone e6 Straight Distance NFL Carolina,02-01-2016,4,3
Bridgestone e6 Straight Distance NFL Carolina,11-01-2016,1,2.333333333
Bridgestone e6 Straight Distance NFL Carolina,10-02-2016,2,2.333333333
Bridgestone e6 Straight Distance NFL Carolina,03-03-2016,1,1.333333333
Bridgestone e6 Straight Distance NFL Carolina,06-03-2016,9,4
Bridgestone e6 Straight Distance NFL Carolina,10-03-2016,4,4.666666667
Bridgestone e6 Straight Distance NFL Carolina,02-04-2016,3,5.333333333
Bridgestone e6 Straight Distance NFL Carolina,03-04-2016,3,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,04-04-2016,4,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,07-04-2016,2,3
Bridgestone e6 Straight Distance NFL Carolina,08-04-2016,1,2.333333333
Bridgestone e6 Straight Distance NFL Carolina,09-04-2016,4,2.333333333
Bridgestone e6 Straight Distance NFL Carolina,01-05-2016,1,2
Bridgestone e6 Straight Distance NFL Carolina,04-05-2016,3,2.666666667
Bridgestone e6 Straight Distance NFL Carolina,10-05-2016,4,2.666666667
Bridgestone e6 Straight Distance NFL Carolina,11-05-2016,1,2.666666667
Bridgestone e6 Straight Distance NFL Carolina,01-06-2016,2,2.333333333
Bridgestone e6 Straight Distance NFL Carolina,02-06-2016,3,2
Bridgestone e6 Straight Distance NFL Carolina,04-06-2016,5,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,09-06-2016,4,4
Bridgestone e6 Straight Distance NFL Carolina,12-06-2016,2,3.666666667
Bridgestone e6 Straight Distance NFL Carolina,01-07-2016,9,5
Bridgestone e6 Straight Distance NFL Carolina,03-07-2016,4,5
Bridgestone e6 Straight Distance NFL Carolina,10-07-2016,2,5
Bridgestone e6 Straight Distance NFL Carolina,11-07-2016,2,2.666666667
Bridgestone e6 Straight Distance NFL Carolina,03-08-2016,1,1.666666667
Bridgestone e6 Straight Distance NFL Carolina,05-08-2016,3,2
Bridgestone e6 Straight Distance NFL Carolina,06-08-2016,3,2.333333333
Bridgestone e6 Straight Distance NFL Carolina,10-08-2016,4,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,02-09-2016,3,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,03-09-2016,4,3.666666667
Bridgestone e6 Straight Distance NFL Carolina,05-09-2016,5,4
Bridgestone e6 Straight Distance NFL Carolina,08-09-2016,1,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,09-09-2016,3,3
Bridgestone e6 Straight Distance NFL Carolina,01-10-2016,6,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,03-10-2016,13,7.333333333
Bridgestone e6 Straight Distance NFL Carolina,08-10-2016,2,7
Bridgestone e6 Straight Distance NFL Carolina,09-10-2016,6,7
Bridgestone e6 Straight Distance NFL Carolina,10-10-2016,8,5.333333333
Bridgestone e6 Straight Distance NFL Carolina,11-10-2016,5,6.333333333
Bridgestone e6 Straight Distance NFL Carolina,12-10-2016,5,6
Bridgestone e6 Straight Distance NFL Carolina,01-11-2016,2,4
Bridgestone e6 Straight Distance NFL Carolina,04-11-2016,5,4
Bridgestone e6 Straight Distance NFL Carolina,05-11-2016,3,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,06-11-2016,5,4.333333333
Bridgestone e6 Straight Distance NFL Carolina,07-11-2016,5,4.333333333
Bridgestone e6 Straight Distance NFL Carolina,09-11-2016,5,5
Bridgestone e6 Straight Distance NFL Carolina,02-12-2016,4,4.666666667
Bridgestone e6 Straight Distance NFL Carolina,04-12-2016,2,3.666666667
Bridgestone e6 Straight Distance NFL Carolina,02-01-2017,5,3.666666667
Bridgestone e6 Straight Distance NFL Carolina,08-01-2017,2,3
Bridgestone e6 Straight Distance NFL Carolina,12-01-2017,2,3
Bridgestone e6 Straight Distance NFL Carolina,03-02-2017,1,1.666666667
Bridgestone e6 Straight Distance NFL Carolina,06-02-2017,4,2.333333333
Bridgestone e6 Straight Distance NFL Carolina,10-02-2017,3,2.666666667
Bridgestone e6 Straight Distance NFL Carolina,02-03-2017,4,3.666666667
Bridgestone e6 Straight Distance NFL Carolina,03-03-2017,4,3.666666667
Bridgestone e6 Straight Distance NFL Carolina,04-03-2017,3,3.666666667
Bridgestone e6 Straight Distance NFL Carolina,05-03-2017,8,5
Bridgestone e6 Straight Distance NFL Carolina,07-03-2017,1,4
Bridgestone e6 Straight Distance NFL Carolina,09-03-2017,4,4.333333333
Bridgestone e6 Straight Distance NFL Carolina,01-04-2017,3,2.666666667
Bridgestone e6 Straight Distance NFL Carolina,11-04-2017,4,3.666666667
Bridgestone e6 Straight Distance NFL Carolina,,5,4
Bridgestone e6 Straight Distance NFL Carolina,,7,5.333333333
Bridgestone e6 Straight Distance NFL Carolina,,3,5
Bridgestone e6 Straight Distance NFL Carolina,,4,4.666666667
Bridgestone e6 Straight Distance NFL Carolina,,12,6.333333333
Bridgestone e6 Straight Distance NFL Carolina,,4,6.666666667
Bridgestone e6 Straight Distance NFL Carolina,,1,5.666666667
Bridgestone e6 Straight Distance NFL Carolina,,7,4
Bridgestone e6 Straight Distance NFL Carolina,,5,4.333333333
Bridgestone e6 Straight Distance NFL Carolina,,4,5.333333333
Bridgestone e6 Straight Distance NFL Carolina,,4,4.333333333
Bridgestone e6 Straight Distance NFL Carolina,,2,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,,6,4
Bridgestone e6 Straight Distance NFL Carolina,,2,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,,8,5.333333333
Bridgestone e6 Straight Distance NFL Carolina,,1,3.666666667
Bridgestone e6 Straight Distance NFL Carolina,,5,4.666666667
Bridgestone e6 Straight Distance NFL Carolina,,2,2.666666667
Bridgestone e6 Straight Distance NFL Carolina,,4,3.666666667
Bridgestone e6 Straight Distance NFL Carolina,,7,4.333333333
Bridgestone e6 Straight Distance NFL Carolina,,3,4.666666667
Bridgestone e6 Straight Distance NFL Carolina,,5,5
Bridgestone e6 Straight Distance NFL Carolina,,2,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,,4,3.666666667
Bridgestone e6 Straight Distance NFL Carolina,,4,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,,5,4.333333333
Bridgestone e6 Straight Distance NFL Carolina,,3,4
Bridgestone e6 Straight Distance NFL Carolina,,5,4.333333333
Bridgestone e6 Straight Distance NFL Carolina,,1,3
Bridgestone e6 Straight Distance NFL Carolina,,3,3
Bridgestone e6 Straight Distance NFL Carolina,,8,4
Bridgestone e6 Straight Distance NFL Carolina,,5,5.333333333
Bridgestone e6 Straight Distance NFL Carolina,,3,5.333333333
Bridgestone e6 Straight Distance NFL Carolina,,5,4.333333333
Bridgestone e6 Straight Distance NFL Carolina,,5,4.333333333
Bridgestone e6 Straight Distance NFL Carolina,,6,5.333333333
Bridgestone e6 Straight Distance NFL Carolina,,5,5.333333333
Bridgestone e6 Straight Distance NFL Carolina,,1,4
Bridgestone e6 Straight Distance NFL Carolina,,5,3.666666667
Bridgestone e6 Straight Distance NFL Carolina,,5,3.666666667
Bridgestone e6 Straight Distance NFL Carolina,,5,5
Bridgestone e6 Straight Distance NFL Carolina,,5,5
Bridgestone e6 Straight Distance NFL Carolina,,5,5
Bridgestone e6 Straight Distance NFL Carolina,,5,5
Bridgestone e6 Straight Distance NFL Carolina,,4,4.666666667
Bridgestone e6 Straight Distance NFL Carolina,,4,4.333333333
Bridgestone e6 Straight Distance NFL Carolina,,9,5.666666667
Bridgestone e6 Straight Distance NFL Carolina,,4,5.666666667
Bridgestone e6 Straight Distance NFL Carolina,,3,5.333333333
Bridgestone e6 Straight Distance NFL Carolina,,3,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,,5,3.666666667
Bridgestone e6 Straight Distance NFL Carolina,,5,4.333333333
Bridgestone e6 Straight Distance NFL Carolina,,5,5
Bridgestone e6 Straight Distance NFL Carolina,,5,5
Bridgestone e6 Straight Distance NFL Carolina,,6,5.333333333
Bridgestone e6 Straight Distance NFL Carolina,,2,4.333333333
Bridgestone e6 Straight Distance NFL Carolina,,4,4
Bridgestone e6 Straight Distance NFL Carolina,,5,3.666666667
Bridgestone e6 Straight Distance NFL Carolina,,2,3.666666667
Bridgestone e6 Straight Distance NFL Carolina,,1,2.666666667
Bridgestone e6 Straight Distance NFL Carolina,,5,2.666666667
Bridgestone e6 Straight Distance NFL Carolina,,6,4
Bridgestone e6 Straight Distance NFL Carolina,,1,4
Bridgestone e6 Straight Distance NFL Carolina,,4,3.666666667
Bridgestone e6 Straight Distance NFL Carolina,,1,2
Bridgestone e6 Straight Distance NFL Carolina,,4,3
Bridgestone e6 Straight Distance NFL Carolina,,2,2.333333333
Bridgestone e6 Straight Distance NFL Carolina,,2,2.666666667
Bridgestone e6 Straight Distance NFL Carolina,,3,2.333333333
Bridgestone e6 Straight Distance NFL Carolina,,5,3.333333333
Bridgestone e6 Straight Distance NFL Carolina,,1,3
Bridgestone e6 Straight Distance NFL Carolina,,1,2.333333333
Bridgestone e6 Straight Distance NFL Carolina,,1,1
Bridgestone e6 Straight Distance NFL Carolina,,3,1.666666667
Bridgestone e6 Straight Distance NFL Carolina,,4,2.666666667
Bridgestone e6 Straight Distance NFL Carolina,,2,3
Bridgestone e6 Straight Distance NFL Carolina,,5,3.666666667
Bridgestone e6 Straight Distance NFL Carolina,,5,4
Bridgestone e6 Straight Distance NFL Carolina,,1,3.666666667
Bridgestone e6 Straight Distance NFL Carolina,,7,4.333333333
